Char & codepoint,Comments,Classic,MavenProSmall,amh18,bigfont,bigupper,chalkboard,chickn24,handwriting_institute,handwriting_neat,smallfont,symbols,threefiv,typewriter
О - 041E,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 041E.png,✓,✓
П - 041F,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 041F.png,✓,✓
Р - 0420,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0420.png,✓,✓
С - 0421,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0421.png,✓,✓
Т - 0422,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0422.png,✓,✓
У - 0423,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0423.png,✓,✓
Ф - 0424,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0424.png,✓,✓
Х - 0425,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0425.png,✓,✓
Ц - 0426,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0426.png,✓,✓
Ч - 0427,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0427.png,✓,✓
Ш - 0428,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0428.png,✓,✓
Щ - 0429,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0429.png,✓,✓
Ъ - 042A,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 042A.png,✓,✓
Ы - 042B,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 042B.png,✓,✓
Ь - 042C,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 042C.png,✓,✓
Э - 042D,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 042D.png,✓,✓
Ю - 042E,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 042E.png,✓,✓
Я - 042F,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 042F.png,✓,✓
а - 0430,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0430.png,✓,✓
б - 0431,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0431.png,✓,✓
в - 0432,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0432.png,✓,✓
г - 0433,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0433.png,✓,✓
д - 0434,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0434.png,✓,✓
е - 0435,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0435.png,✓,✓
ж - 0436,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0436.png,✓,✓
з - 0437,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0437.png,✓,✓
и - 0438,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0438.png,✓,✓
й - 0439,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0439.png,✓,✓
к - 043A,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 043A.png,✓,✓
л - 043B,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 043B.png,✓,✓
м - 043C,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 043C.png,✓,✓
н - 043D,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 043D.png,✓,✓
о - 043E,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 043E.png,✓,✓
п - 043F,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 043F.png,✓,✓
р - 0440,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0440.png,✓,✓
с - 0441,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0441.png,✓,✓
т - 0442,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0442.png,✓,✓
у - 0443,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0443.png,✓,✓
ф - 0444,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0444.png,✓,✓
х - 0445,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0445.png,✓,✓
ц - 0446,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0446.png,✓,✓
ч - 0447,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0447.png,✓,✓
ш - 0448,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0448.png,✓,✓
щ - 0449,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0449.png,✓,✓
ъ - 044A,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 044A.png,✓,✓
ы - 044B,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 044B.png,✓,✓
